"Respondent Number","Date","Time","Channel","What is your job title?","How many years of experience do you have?","What is your current work situation?","If you are employed by a company, are you:","How would you classify your company?","Are you:","Who do you work with on a regular basis?","Are you co-located with developers?","Please share any other details about your employment that you think might be relevant to this survey.","In which of the following skills do you consider yourself to be competent?","What technologies can you use competently?","In which of these activities do you regularly participate?","Are there any other skills or experience that you think may be relevant to this survey?","Do you use issue tracking software (e.g. JIRA, Bugzilla)? If so, what for?","Do you use version control software (e.g. Subversion, GitHub)? If so, what for?","To what degree are you consulted by developers?","Are there management-sanctioned processes in place that require design involvement in all UI work? If so, please explain.","Do you work directly in the production code base?","Do you participate in code reviews?","Do developers participate in design activities? If so, please explain.","What kind of relationship do you have with the developers you work with?","Please provide any other information you feel is relevant to this survey."
"","","","","","","","","","","","","","","","","","","","","","","","","",""
1,"2011/13/12","06:27:21","Working with Developers Survey","Industrial Designer","2.5","Other, please specify (null)","Doing work on your own company's products/services","Other, please specify (Industrial design consultancy)","Part of a small design team","Visual Designers, Industrial Designers","No.","Working on completely redoing our company website, learning what goes into a website, working with a single developer on a tight deadline.","","","","","","","","","","","","",""
2,"2011/13/12","06:31:45","Working with Developers Survey","Director of User Experience ","11","Small Company (100 employees or less)","Doing work on your own company's products/services","Other, please specify (Consumer product start up in commerce space)","Part of a small design team","Visual Designers, Information Architects, Front End Developers, Back End Developers, Software Architects","No.","We are not co-located but ... 

- We are constantly using Skype (voice and Video) as well as tools like Hipchat
- We make it a point to use video as often as possible. It helps create the relationship that's necessary for a successful team. 
- To further foster the relationship, we make it a point to visit each other's offices (eg. I just spent 5 weeks with a group of our developers)","Visual design, Information architecture, Interaction design, User interface design, UI specification","HTML, CSS","Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Design documentation, Usability testing, Bug reporting","","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I receive bug reports to be fixed through it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","","No","No","Yes the actively provide feedback about the visual design as well as the information architecture. They are much more informed than people think. They also care about these details much more than they are credited for. ","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input., They consider me to be the one that \"makes things pretty\".",""
3,"2011/13/12","06:33:48","Working with Developers Survey","Interaction designer and technical writer","3","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (Semiconductor manufacturer)","The only designer","Front End Developers, Back End Developers","Yes, in the same room.","","Interaction design, User interface design, UI prototyping","HTML, CSS, jQuery","Wireframe creation, UI sketching, Digital prototyping (e.g. HTML, Flash), Writing of user guides or training materials","","I am assigned tasks by other members of my team through it., I report bugs in it., I receive bug reports to be fixed through it.","I use it for version control of my design deliverables.","Developers regularly come to me with questions during implementation.","Only a tacit understanding...","No","No","","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
4,"2011/13/12","06:38:59","Working with Developers Survey","Experience Director","15","Large Company (more than 100 employees)","Working on an external client's products/services","Other, please specify (marketing agency)","Part of a large design group","Visual Designers, Industrial Designers, Interaction Designers, Front End Developers, Back End Developers, Software Architects","Other, please specify (sometimes they're in our office, sometimes other offices.)","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, Other, please specify (user research, design communication)","HTML, CSS, JavaScript","User research, Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Design documentation, Implementation (e.g. writing production HTML and CSS)), Usability testing","","I create tasks for myself in it., I report bugs in it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","No","","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.",""
5,"2011/13/12","07:26:49","Working with Developers Survey","Senior information architect","17","Large Company (more than 100 employees)","Working on an external client's products/services","Other, please specify (Digital agency)","Part of a large design group","Visual Designers, Information Architects, Interaction Designers, Usability Researchers, Front End Developers, Back End Developers, Software Prototypers, Software Architects","Yes, in the same room.","","Information architecture, Interaction design, User interface design, Usability evaluation, UI specification, UI prototyping","HTML, CSS, JavaScript, jQuery, Moo Tools, PHP, XML","User research, Requirements analysis, Wireframe creation, UI sketching, Digital prototyping (e.g. HTML, Flash), Design documentation, Functional testing, Usability testing, Bug reporting","","I report bugs in it., I receive bug reports to be fixed through it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","No, it's just how our project teams are integrated.","No","No","Developers and tech architects are often invited to contribute during design brainstorming and ideation, and are expected to review ongoing design iterations and give feedback.","I consider some of them to be good friends., We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","I have no idea why this is, but I love working with devs and they  like working with me. We know the other makes our work better. This is not true for all of my colleagues in ux, and that puzzles me too."
6,"2011/13/12","07:59:07","Working with Developers Survey","Sr. Designer, user experience","12","Large Company (more than 100 employees)","Doing work on your own company's products/services","Other, please specify (In telecom industry)","Part of a large design group","Visual Designers, Interaction Designers, Usability Researchers, Front End Developers, Software Prototypers, Software Architects","Yes, in the same building.","","Visual design, Information architecture, Interaction design, User interface design","HTML, CSS, JavaScript, jQuery, Python, PHP, C++, Objective-C","User research, Requirements analysis, Wireframe creation, UI sketching, Digital prototyping (e.g. HTML, Flash), Design documentation","","The developers use it, but I do not.","The developers use it, but I do not.","Developers regularly come to me with questions during implementation.","","No","No","In user research or usability studies, lead developer is part of forming the solutions.","I consider some of them to be good friends., I respect their skills and value their input.",""
7,"2011/13/12","07:59:35","Working with Developers Survey","Head of User Experience","3","Small Company (100 employees or less)","Working on an external client's products/services","UX/Design firm","Part of a small design team","Visual Designers, Front End Developers, Back End Developers","Yes, in the same room.","Often pair up with developers during rapid Dev cycles and co-located for collaboration purposes. ","Visual design, Information architecture, Interaction design, Usability evaluation, UI specification, UI prototyping","HTML","User research, Requirements analysis, Wireframe creation, UI sketching, Screen rendering (e.g. pixel-perfect mockups), Physical prototyping (e.g. paper), Usability testing","Involved in managing project and team meetings and pitch work. ","I am assigned tasks by other members of my team through it., I create tasks for myself in it., I create tasks for other team members in it., I report bugs in it., I attach design deliverables to tasks/issues in it.","The developers use it, but I do not.","I work integrally with the developers throughout all project phases.","Yes, my role sees me working closely with management to discuss requirements, brainstorm ideas, and feasibility of solution before scoping and designing. (pre-Dev)","No","No","No. (not at the moment but my vision is that they will sometime soon - less than 6 months time)","We do things together socially at work (e.g. have lunch)., They respect my skills and value my contributions., I respect their skills and value their input.","My firm belief is our team should work together as a unified team as much as possible aim for a common output theme - produce great products that meets (and exceeds) client and user expectation. "
8,"2011/13/12","08:07:06","Working with Developers Survey","Designer","3","Small Company (100 employees or less)","Other, please specify (Both)","Software development firm","The only designer","Front End Developers, Back End Developers, Software Prototypers","Yes, in the same building.","","Visual design, User interface design, UI prototyping","HTML, CSS, jQuery","Requirements analysis, Wireframe creation, UI sketching, Physical prototyping (e.g. paper), Digital prototyping (e.g. HTML, Flash), Design documentation","","The developers use it, but I do not.","The developers use it, but I do not.","We work together during the design phase, but I don't have much input during implementation.","","Yes","Yes","","We do things together socially outside of work., We do things together socially at work (e.g. have lunch)., They consider me to be the one that \"makes things pretty\".",""
9,"2011/13/12","09:40:39","Working with Developers Survey","User Interface Designer","4","Large Company (more than 100 employees)","","Software development firm","Part of a small design team","Front End Developers","Yes, we share a desk.","","Visual design, UI prototyping, UI implementation","HTML, CSS, ActionScript, Spry, JavaScript, jQuery, YUI, Prototype, Ext JS, PHP, Objective-C, XML","UI sketching, Screen rendering (e.g. pixel-perfect mockups), Digital prototyping (e.g. HTML, Flash), Design documentation, Implementation (e.g. writing production HTML and CSS)), Bug fixing","","The developers use it, but I do not.","I use it for version control of my design deliverables.","Developers regularly come to me with questions during implementation.","There is no as such policy sanctioned by management. we are doing randomly work for developers. ","Yes","Yes","Yes Developers participating in designing which is always taking us to wrong direction. Just funy part. I hate this process.","I consider some of them to be good friends., I respect their skills and value their input., It is a purely business relationship., They have no respect for, or understanding of, what I do., I hate them., Other, please specify (May be they hate me, because some time i am not getting agree with them.)",""
